Apr,15,17.8
Apr,16,13.1
Apr,17,13.1
Apr,18,17.3
Apr,19,17.6
Apr,20,11.4
Apr,21,16.2
Apr,22,15.9
Apr,23,11.1
Apr,24,12.0
Apr,25,15.2
Apr,26,14.3
Apr,27,12.6
Apr,28,13.1
Apr,29,14.8
Apr,30,13.1
May,1,9.9
May,2,13.1
May,3,11.2
May,4,15.1
May,5,19.5
May,6,19.9
May,7,21.1
May,8,21.8
May,9,23.7
May,10,24.0
May,11,20.3
May,12,19.5
May,13,24.1
May,14,25.8
May,15,27.3
May,16,27.8
May,17,19.7
May,18,20.8
May,19,21.9
May,20,22.1
May,21,22.4
May,22,24.4
May,23,25.2
May,24,26.9
May,25,28.0
May,26,28.4
May,27,28.7
May,28,26.1
May,29,28.0
May,30,31.1
May,31,28.8
Jun,1,29.2
Jun,2,30.7
Jun,3,31.9
Jun,4,25.5
Jun,5,21.8
Jun,6,21.9
Jun,7,27.7
Jun,8,27.9
Jun,9,27.0
Jun,10,27.8
Jun,11,20.2
Jun,12,23.8
Jun,13,21.2
Jun,14,19.2
Jun,15,20.6
Jun,16,20.6
Jun,17,17.4
Jun,18,17.3
Jun,19,22.0
Jun,20,18.1
Jun,21,15.8
Jun,22,16.6
Jun,23,22.7
Jun,24,24.2
Jun,25,29.8
Jun,26,28.4
Jun,27,29.2
Jun,28,30.1
Jun,29,24.0
Jun,30,24.6
Jul,1,27.6
Jul,2,28.9
Jul,3,31.6
Jul,4,29.7
Jul,5,26.6
Jul,6,27.8
Jul,7,25.8
Jul,8,28.2
Jul,9,23.6
Jul,10,29.0
Jul,11,30.8
Jul,12,29.3
Jul,13,30.5
Jul,14,26.5
Jul,15,28.1
Jul,16,28.5
Jul,17,31.9
Jul,18,28.3
Jul,19,30.0
Jul,20,28.4
Jul,21,27.3
Jul,22,27.5
Jul,23,29.2
Jul,24,29.8
Jul,25,28.9
Jul,26,32.7
Jul,27,34.6
Jul,28,31.7
Jul,29,26.8
Jul,30,27.5
Jul,31,31.6
Aug,1,27.4
Aug,2,24.8
Aug,3,25.0
Aug,4,28.5
Aug,5,25.1
Aug,6,21.9
Aug,7,25.1
Aug,8,23.3
Aug,9,25.7
Aug,10,21.5
Aug,11,20.2
Aug,12,16.8
Aug,13,22.4
Aug,14,20.5
Aug,15,22.0
Aug,16,19.9
Aug,17,20.5
Aug,18,17.6
Aug,19,22.3
Aug,20,20.0
Aug,21,21.1
Aug,22,18.7
Aug,23,19.6
Aug,24,19.9
Aug,25,19.1
Aug,26,19.1
Aug,27,16.6
Aug,28,20.6
Aug,29,18.3
Aug,30,21.5
Aug,31,19.9
Sep,1,21.1
Sep,2,21.2
Sep,3,22.1
Sep,4,22.2
Sep,5,20.9
Sep,6,17.1
Sep,7,17.3
Sep,8,17.8
Sep,9,16.5
Sep,10,18.2
Sep,11,14.7
Sep,12,17.8
Sep,13,16.8
Sep,14,16.8
Sep,15,17.5
Sep,16,13.2
Sep,17,15.8
Sep,18,19.2
Sep,19,21.1
Sep,20,17.7
Sep,21,15.5
Sep,22,16.3
Sep,23,15.9
Sep,24,13.4
Sep,25,12.5
Sep,26,20.2
Sep,27,12.4
Sep,28,13.2
Sep,29,11.9
Sep,30,14.6
Oct,1,13.0
Oct,2,5.9
Oct,3,12.7
Oct,4,9.1
Oct,5,12.9
Oct,6,11.0
Oct,7,10.3
Oct,8,16.2
Oct,9,15.4
Oct,10,17.8
Oct,11,14.1
Oct,12,12.6
Oct,13,16.9
Oct,14,17.3
Oct,15,13.5
Oct,16,10.4
Oct,17,13.8
Oct,18,13.7
Oct,19,10.4
Oct,20,10.5
Oct,21,14.5
Oct,22,12.3
Oct,23,13.0
Oct,24,8.7
Oct,25,9.4
Oct,26,5.1
Oct,27,3.4
Oct,28,3.2
Oct,29,0.4
Oct,30,2.9
Oct,31,7.8
Nov,1,7.3
Nov,2,8.3
Nov,3,6.9
Nov,4,9.1
Nov,5,7.7
Nov,6,8.0
Nov,7,7.7
Nov,8,8.0
Nov,9,8.1
Nov,10,8.2
Nov,11,9.5
Nov,12,11.5
Nov,13,8.4
Nov,14,6.8
Nov,15,10.7
Nov,16,10.0
Nov,17,7.3
Nov,18,6.7
Nov,19,3.8
Nov,20,-1.0
Nov,21,2.8
Nov,22,1.6
Nov,23,-4.4
Nov,24,1.9
Nov,25,1.5
Nov,26,0.2
Nov,27,-0.6
Nov,28,-3.0
Nov,29,2.9
Nov,30,7.2
Dec,1,7.2
Dec,2,5.1
Dec,3,6.9
Dec,4,6.4
Dec,5,2.3
Dec,6,-0.9
Dec,7,0.2
Dec,8,0.4
Dec,9,0.7
Dec,10,5.1
Dec,11,4.6
Dec,12,1.3
Dec,13,-4.6
Dec,14,-6.7
Dec,15,-4.1
Dec,16,0.1
Dec,17,-0.2
Dec,18,-1.4
Dec,19,1.5
Dec,20,1.9
Dec,21,0.7
Dec,22,-1.8
Dec,23,-3.3
Dec,24,-5.3
Dec,25,2.3
Dec,26,1.8
Dec,27,1.4
Dec,28,0.3
Dec,29,-1.6
Dec,30,-0.1
Dec,31,2.8
